,0
799,60
800,120
801,120
802,120
803,120
804,120
805,0
806,180
807,120
808,60
809,300
810,120
811,60
812,60
813,60
814,60
815,60
816,120
817,120
818,120
819,180
820,120
821,60
822,120
823,120
824,0
825,120
826,120
827,60
828,120
829,120
830,120
831,120
832,120
833,240
834,120
835,120
836,240
837,120
838,240
839,120
840,60
841,60
842,60
843,240
844,60
845,60
846,120
847,60
848,60
849,240
850,120
851,60
852,60
853,120
854,60
855,60
856,240
857,120
858,60
859,60
860,120
861,60
862,60
863,120
864,120
865,60
866,120
867,60
868,60
869,60
870,60
871,120
872,120
873,60
874,60
875,120
876,0
877,60
878,120
879,60
880,60
881,120
882,120
883,120
884,60
885,60
886,120
887,120
888,180
889,120
890,120
891,60
892,120
893,60
894,60
895,60
896,60
897,120
898,120
899,60
900,60
901,120
902,60
903,120
904,60
905,120
906,0
907,120
908,60
909,60
910,180
911,120
912,60
913,180
914,120
915,0
916,120
917,120
918,0
919,120
920,60
921,120
922,60
923,180
924,120
925,60
926,60
927,120
928,120
929,60
930,120
931,180
932,60
933,120
934,120
935,60
936,60
937,120
938,60
939,60
940,60
941,120
942,120
943,60
944,60
945,120
946,120
947,180
948,300
949,120
950,60
951,60
952,60
953,60
954,60
955,180
956,120
957,0
958,180
959,120
960,60
961,120
962,120
963,241
964,120
965,120
966,60
967,120
968,120
969,1
970,240
971,60
972,120
973,120
974,60
975,120
976,240
977,240
978,120
979,60
980,240
981,60
982,60
983,120
984,240
985,120
986,120
987,120
988,60
989,120
990,360
991,240
992,120
993,120
994,60
995,180
996,240
997,60
998,120
999,120
1000,0
1001,480
1002,180
1003,120
1004,60
1005,240
1006,120
1007,120
1008,180
1009,60
1010,180
1011,240
1012,60
1013,540
1014,120
1015,60
1016,60
1017,120
1018,120
1019,60
1020,240
1021,60
1022,120
1023,60
1024,60
1025,120
1026,60
1027,0
1028,120
1029,120
1030,60
1031,180
1032,60
1033,60
1034,60
1035,60
1036,120
1037,120
1038,120
1039,120
1040,0
1041,120
1042,120
1043,180
1044,120
1045,120
1046,0
1047,120
1048,120
1049,120
1050,60
1051,120
1052,120
1053,120
1054,60
1055,120
1056,60
1057,240
1058,120
1059,60
